"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.409874248836979,0.306308665144769,-1.33810856654435,0.185384850364424
"seasonMonsoon",0.862720270034248,0.169806557792782,5.08060631608258,3.22691292840346e-06
"location_2Globe Area",0.917462053233733,0.351261460180017,2.61190639235955,0.0111031007521111
"location_2Canyons Area",0.86147565391454,0.342784167813507,2.51317223724064,0.0143768132134831
"Q1Flat BUR (Reflective)",-0.634566432918058,0.287436656481862,-2.20767399915154,0.0306950754325672
"Q1Flat BUR (Tar/Gravel)",-0.366042803547279,0.276871910523875,-1.32206550984057,0.190642278755472
"Q1Metal Panel",0.0966676288208089,0.193908285580591,0.498522425338201,0.619748565274754
