"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.074795097045265,0.574469063271326,-0.130198650940997,0.897278374285417
"seasonMonsoon",0.778339498633444,0.279800214195076,2.78176877338195,0.00925617484766711
"Q656 months-1 year",-0.435943674027196,0.598597431943708,-0.728275215968839,0.472091929143434
"Q651-2 years",-0.571139075254554,0.65985044681696,-0.865558367065842,0.393601771330118
"Q653-4 years",0.0951804458678971,0.626854321875419,0.15183822228925,0.880331055112437
"Q655+ years",0.62355415927358,0.626854321875419,0.994735359577699,0.327821111210832
