"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.04040639832819,0.187212036951017,-5.55736914822633,3.88231111022436e-07
"seasonMonsoon",1.15513088336249,0.264942048803984,4.35993791312871,4.03047925527253e-05
"prox.normal",-0.320032520252988,0.14383731507493,-2.22496172211135,0.0290504871404419
"locationWinkelman",-1.08154278176906,0.273906060477599,-3.94859018410625,0.000174236799254078
