"","proximity","winter","monsoon"
"1",0,0.0710676819875451,0.377861345737318
"2",0.5,0.0368500411954112,0.232975604818794
"3",1,0.0187745213405274,0.131868950519422
"4",1.5,0.00947807496284322,0.0706016947443111
"5",2,0.00476254123963024,0.0365995774842346
