"","analyte","score_bin","season","n","min","max","median","mean","sd","gmean","gsd"
"64","Mn","Medium","Monsoon",67,0.928,471,18,50.3,87.9,18,4.58
"65","Mn","High","Winter",129,0.0787,291,3.24,13.2,38.8,3.42,4.45
"66","Mn","High","Monsoon",59,0.422,334,18.7,54.7,73.9,20.4,4.91
"67","Mo","None","Winter",112,0.0258,17.9,1.52,1.86,2.09,1.05,3.52
"68","Mo","None","Monsoon",48,0.12,17.1,2.8,3.4,3.7,1.76,3.6
"69","Mo","Medium","Winter",156,0.0078,11.1,1.48,1.84,1.84,0.997,3.7
"70","Mo","Medium","Monsoon",67,0.138,13.9,2.29,2.89,2.59,1.79,2.98
"71","Mo","High","Winter",129,0.016,20.2,1.16,2.2,3.38,1.12,3.31
"72","Mo","High","Monsoon",59,0.095,37.9,2.45,4.06,6.26,2.03,3.37
"73","Ni","None","Winter",112,0.0841,221,0.504,2.63,20.9,0.565,2.33
"74","Ni","None","Monsoon",48,0.175,11,1.36,2.27,2.39,1.48,2.57
"75","Ni","Medium","Winter",156,0.0611,466,0.511,4.13,37.3,0.632,2.96
"76","Ni","Medium","Monsoon",67,0.336,68.8,1.25,2.7,8.34,1.39,2.28
"77","Ni","High","Winter",129,0.0571,59.7,0.642,2.09,6.23,0.751,3.12
"78","Ni","High","Monsoon",59,0.299,18.6,1.53,3,4.09,1.73,2.67
"79","Pb","None","Winter",112,0.0554,52.1,0.885,2.09,5.41,0.85,3.5
"80","Pb","None","Monsoon",48,0.0142,264,1.14,8.98,38.1,1.1,6.81
"81","Pb","Medium","Winter",156,0.013,22.2,0.46,1.58,3.41,0.547,3.95
"82","Pb","Medium","Monsoon",67,0.0712,20.8,0.662,2.26,4.08,0.781,4.21
"83","Pb","High","Winter",129,0.0263,350,0.477,3.95,30.8,0.513,4.02
"84","Pb","High","Monsoon",59,0.0484,75.4,0.861,4.1,10.7,1.07,4.67
"85","Sb","None","Winter",112,0.12,9.78,0.608,0.858,1.24,0.612,2.05
"86","Sb","None","Monsoon",48,0.285,13.4,0.725,1.44,2.24,0.886,2.32
"87","Sb","Medium","Winter",156,0.11,2.76,0.528,0.654,0.47,0.533,1.89
"88","Sb","Medium","Monsoon",67,0.197,9.15,0.678,1.24,1.7,0.803,2.26
"89","Sb","High","Winter",129,0.106,5.35,0.529,0.738,0.792,0.54,2.09
"90","Sb","High","Monsoon",59,0.196,2.38,0.561,0.676,0.441,0.571,1.77
"91","Se","None","Winter",112,0.16,7.43,1.58,1.66,1.17,1.4,1.78
"92","Se","None","Monsoon",48,0.373,11.7,2.83,2.95,2.21,2.28,2.15
"93","Se","Medium","Winter",156,0.16,11.6,1.14,1.57,1.46,1.17,2.18
"94","Se","Medium","Monsoon",67,0.19,8.25,2.3,2.28,1.77,1.54,2.67
"95","Se","High","Winter",129,0.16,11.2,1.3,1.73,1.72,1.15,2.57
"96","Se","High","Monsoon",59,0.19,12.6,3,2.68,2.16,1.75,2.91
"97","Sn","None","Winter",112,0.00828,2.47,0.0567,0.148,0.28,0.0682,3.19
"98","Sn","None","Monsoon",48,0.0174,1.01,0.11,0.162,0.163,0.114,2.33
"99","Sn","Medium","Winter",156,0.00196,80.7,0.0713,0.674,6.46,0.077,3.58
"100","Sn","Medium","Monsoon",67,0.0173,13.9,0.167,0.727,2.45,0.191,3.42
"101","Sn","High","Winter",129,0.00092,6.02,0.0647,0.196,0.563,0.0803,3.29
"102","Sn","High","Monsoon",59,0.018,3.85,0.127,0.437,0.74,0.179,3.65
"103","V","None","Winter",112,0.145,17.5,1.4,1.67,1.79,1.3,1.96
"104","V","None","Monsoon",48,0.465,9.98,3.18,3.88,2.85,2.79,2.43
"105","V","Medium","Winter",156,0.276,18.3,1.4,2.06,2.23,1.46,2.23
"106","V","Medium","Monsoon",67,0.527,9.82,2.82,3.52,2.29,2.76,2.09
"107","V","High","Winter",129,0.176,27,1.4,2.27,3.24,1.47,2.42
"108","V","High","Monsoon",59,0.49,29,2.92,4.09,4.46,2.85,2.31
"109","Zn","None","Winter",112,6.42,2340,84,202,335,93.3,3.31
"110","Zn","None","Monsoon",48,5.74,8510,129,777,1810,156,6.05
"111","Zn","Medium","Winter",156,2.4,7630,63.3,325,971,74.5,4.68
"112","Zn","Medium","Monsoon",67,6.82,6100,107,379,987,98.2,4.67
"113","Zn","High","Winter",129,1.4,13300,103,399,1320,109,4.49
"114","Zn","High","Monsoon",59,10.3,12700,136,703,2140,136,4.72
