"","analyte","score_bin","season","community","n","min","max","median","mean","sd","gmean","gsd"
"101","Be","None","Monsoon","Dewey-Humboldt",11,0.00362,0.124,0.016,0.0425,0.0402,0.0258,3.09
"102","Be","None","Monsoon","Globe/Miami",6,0.034,0.119,0.0534,0.0663,0.0322,0.0605,1.59
"103","Be","None","Monsoon","Hayden/Winkelman",14,0.00588,0.091,0.0277,0.0321,0.0243,0.0246,2.18
"104","Be","None","Monsoon","Tucson",17,0.00656,0.104,0.0194,0.0279,0.0226,0.0226,1.89
"105","Be","Medium","Winter","Dewey-Humboldt",8,0.0042,0.064,0.04,0.0408,0.0235,0.0304,2.71
"106","Be","Medium","Winter","Globe/Miami",35,0.0042,0.505,0.04,0.0525,0.0893,0.0299,2.65
"107","Be","Medium","Winter","Hayden/Winkelman",23,0.0019,0.144,0.04,0.0337,0.032,0.0198,3.31
"108","Be","Medium","Winter","Tucson",90,0.00063,0.511,0.018,0.0305,0.0556,0.0162,3.34
"109","Be","Medium","Monsoon","Dewey-Humboldt",3,0.00648,0.0221,0.016,0.0149,0.00787,0.0132,1.89
"110","Be","Medium","Monsoon","Globe/Miami",24,0.0099,0.593,0.0384,0.0759,0.119,0.0434,2.64
"111","Be","Medium","Monsoon","Hayden/Winkelman",9,0.0057,0.0338,0.0099,0.0137,0.00904,0.0116,1.8
"112","Be","Medium","Monsoon","Tucson",31,0.00456,0.0506,0.016,0.0193,0.0119,0.0162,1.82
"113","Be","High","Winter","Dewey-Humboldt",9,0.0016,0.064,0.018,0.0249,0.0228,0.013,4.14
"114","Be","High","Winter","Globe/Miami",30,0.0025,1.69,0.04,0.195,0.439,0.0468,4.69
"115","Be","High","Winter","Hayden/Winkelman",4,0.00412,0.238,0.052,0.0864,0.104,0.0398,5.42
"116","Be","High","Winter","Tucson",86,0.00133,0.136,0.015,0.024,0.0235,0.0143,3
"117","Be","High","Monsoon","Dewey-Humboldt",5,0.00545,0.0485,0.0255,0.0242,0.0189,0.0169,2.82
"118","Be","High","Monsoon","Globe/Miami",14,0.0158,1.36,0.0489,0.192,0.393,0.0595,3.83
"119","Be","High","Monsoon","Hayden/Winkelman",1,0.016,0.016,0.016,0.016,NA,0.016,NA
"120","Be","High","Monsoon","Tucson",39,0.0017,0.0642,0.016,0.0185,0.0117,0.0151,1.99
"121","Cd","None","Winter","Dewey-Humboldt",17,0.0127,0.0913,0.0269,0.034,0.0237,0.0287,1.74
"122","Cd","None","Winter","Globe/Miami",14,0.0071,3.8,0.145,0.395,0.983,0.139,3.6
"123","Cd","None","Winter","Hayden/Winkelman",37,0.012,1.54,0.345,0.441,0.4,0.286,2.85
"124","Cd","None","Winter","Tucson",44,0.019,0.224,0.053,0.0615,0.0413,0.0532,1.66
"125","Cd","None","Monsoon","Dewey-Humboldt",11,0.011,1.38,0.0429,0.2,0.4,0.0671,4.27
"126","Cd","None","Monsoon","Globe/Miami",6,0.025,0.754,0.426,0.38,0.282,0.231,3.85
"127","Cd","None","Monsoon","Hayden/Winkelman",14,0.128,4.65,1.14,1.38,1.23,0.919,2.76
"128","Cd","None","Monsoon","Tucson",17,0.011,0.207,0.0611,0.073,0.0581,0.0506,2.61
"129","Cd","Medium","Winter","Dewey-Humboldt",8,0.0061,0.0275,0.0165,0.0152,0.00731,0.0135,1.71
"130","Cd","Medium","Winter","Globe/Miami",35,0.02,11.7,0.0862,0.987,2.73,0.153,4.89
"131","Cd","Medium","Winter","Hayden/Winkelman",23,0.00528,3.56,0.09,0.303,0.735,0.1,4.07
"132","Cd","Medium","Winter","Tucson",90,0.00652,0.421,0.0513,0.0759,0.0741,0.0537,2.33
"133","Cd","Medium","Monsoon","Dewey-Humboldt",3,0.011,0.0485,0.025,0.0282,0.019,0.0237,2.1
"134","Cd","Medium","Monsoon","Globe/Miami",24,0.0289,10.1,0.179,0.834,2.09,0.239,4.12
"135","Cd","Medium","Monsoon","Hayden/Winkelman",9,0.0625,2.71,0.105,0.461,0.865,0.18,3.48
"136","Cd","Medium","Monsoon","Tucson",31,0.011,0.185,0.0673,0.076,0.0513,0.0584,2.2
"137","Cd","High","Winter","Dewey-Humboldt",9,0.007,0.101,0.0192,0.0325,0.0293,0.0238,2.28
"138","Cd","High","Winter","Globe/Miami",30,0.02,8.01,0.0806,0.956,2.2,0.144,5.49
"139","Cd","High","Winter","Hayden/Winkelman",4,0.0881,0.222,0.172,0.164,0.0636,0.153,1.54
"140","Cd","High","Winter","Tucson",86,0.007,0.66,0.048,0.0852,0.0988,0.0583,2.25
"141","Cd","High","Monsoon","Dewey-Humboldt",5,0.011,0.429,0.0411,0.119,0.176,0.0518,4.16
"142","Cd","High","Monsoon","Globe/Miami",14,0.042,5.39,0.253,0.944,1.78,0.295,4.24
"143","Cd","High","Monsoon","Hayden/Winkelman",1,0.306,0.306,0.306,0.306,NA,0.306,NA
"144","Cd","High","Monsoon","Tucson",39,0.011,0.427,0.06,0.082,0.0767,0.0615,2.12
"145","Co","None","Winter","Dewey-Humboldt",17,0.0059,0.365,0.0724,0.104,0.103,0.0681,2.76
"146","Co","None","Winter","Globe/Miami",14,0.0059,1.58,0.0981,0.237,0.4,0.111,3.61
"147","Co","None","Winter","Hayden/Winkelman",37,0.011,0.633,0.126,0.177,0.138,0.131,2.3
"148","Co","None","Winter","Tucson",44,0.014,0.605,0.065,0.103,0.101,0.0781,2.01
"149","Co","None","Monsoon","Dewey-Humboldt",11,0.0265,2.18,0.338,0.45,0.606,0.237,3.45
"150","Co","None","Monsoon","Globe/Miami",6,0.023,1.51,0.6,0.637,0.518,0.371,4.4
"151","Co","None","Monsoon","Hayden/Winkelman",14,0.114,2.95,0.35,0.684,0.749,0.456,2.44
"152","Co","None","Monsoon","Tucson",17,0.023,2.17,0.21,0.345,0.503,0.183,3.16
"153","Co","Medium","Winter","Dewey-Humboldt",8,0.02,0.14,0.0493,0.0636,0.0403,0.054,1.84
"154","Co","Medium","Winter","Globe/Miami",35,0.023,7.89,0.0856,0.556,1.46,0.14,3.97
"155","Co","Medium","Winter","Hayden/Winkelman",23,0.0059,0.621,0.0729,0.119,0.135,0.0731,2.85
"156","Co","Medium","Winter","Tucson",90,0.0045,2.42,0.0667,0.149,0.318,0.0732,2.84
"157","Co","Medium","Monsoon","Dewey-Humboldt",3,0.0563,0.299,0.107,0.154,0.128,0.122,2.32
"158","Co","Medium","Monsoon","Globe/Miami",24,0.042,5.04,0.412,0.828,1.11,0.434,3.19
"159","Co","Medium","Monsoon","Hayden/Winkelman",9,0.0623,0.529,0.156,0.186,0.139,0.154,1.87
"160","Co","Medium","Monsoon","Tucson",31,0.0385,3.56,0.14,0.361,0.655,0.188,2.74
"161","Co","High","Winter","Dewey-Humboldt",9,0.0045,0.622,0.0796,0.162,0.194,0.0768,4.58
"162","Co","High","Winter","Globe/Miami",30,0.0273,11.2,0.112,1.17,2.9,0.199,5.15
"163","Co","High","Winter","Hayden/Winkelman",4,0.0429,0.0705,0.0662,0.0615,0.0126,0.0603,1.26
"164","Co","High","Winter","Tucson",86,0.014,1.87,0.0707,0.149,0.267,0.0835,2.55
"165","Co","High","Monsoon","Dewey-Humboldt",5,0.0811,1.23,0.155,0.565,0.598,0.309,3.6
"166","Co","High","Monsoon","Globe/Miami",14,0.098,7.9,0.407,1.49,2.69,0.513,3.96
"167","Co","High","Monsoon","Hayden/Winkelman",1,0.159,0.159,0.159,0.159,NA,0.159,NA
"168","Co","High","Monsoon","Tucson",39,0.0366,1.86,0.179,0.415,0.49,0.229,3.01
"169","Cr","None","Winter","Dewey-Humboldt",17,0.085,7.03,0.56,1.08,1.74,0.496,3.41
"170","Cr","None","Winter","Globe/Miami",14,0.075,0.705,0.169,0.233,0.181,0.184,2.02
"171","Cr","None","Winter","Hayden/Winkelman",37,0.105,9.18,0.296,1.04,1.98,0.417,3.31
"172","Cr","None","Winter","Tucson",44,0.056,2.31,0.325,0.47,0.462,0.324,2.4
"173","Cr","None","Monsoon","Dewey-Humboldt",11,0.344,1.93,0.751,0.898,0.53,0.769,1.79
"174","Cr","None","Monsoon","Globe/Miami",6,0.179,0.753,0.3,0.345,0.207,0.308,1.64
"175","Cr","None","Monsoon","Hayden/Winkelman",14,0.106,171,0.799,13.2,45.5,0.865,6.33
"176","Cr","None","Monsoon","Tucson",17,0.299,20.8,0.819,1.93,4.86,0.824,2.63
"177","Cr","Medium","Winter","Dewey-Humboldt",8,0.0732,1.19,0.188,0.316,0.367,0.211,2.44
"178","Cr","Medium","Winter","Globe/Miami",35,0.011,4.21,0.188,0.474,0.837,0.205,3.7
"179","Cr","Medium","Winter","Hayden/Winkelman",23,0.057,1.23,0.269,0.315,0.253,0.242,2.12
"180","Cr","Medium","Winter","Tucson",90,0.0351,13.6,0.251,0.648,1.73,0.279,2.88
"181","Cr","Medium","Monsoon","Dewey-Humboldt",3,0.3,0.81,0.388,0.499,0.272,0.455,1.67
"182","Cr","Medium","Monsoon","Globe/Miami",24,0.134,1.39,0.521,0.553,0.296,0.477,1.79
"183","Cr","Medium","Monsoon","Hayden/Winkelman",9,0.071,0.54,0.25,0.262,0.133,0.231,1.77
"184","Cr","Medium","Monsoon","Tucson",31,0.0789,2.87,0.453,0.647,0.586,0.489,2.09
"185","Cr","High","Winter","Dewey-Humboldt",9,0.085,86,0.219,9.96,28.5,0.527,8.37
"186","Cr","High","Winter","Globe/Miami",30,0.011,7.24,0.306,0.88,1.42,0.362,4.12
"187","Cr","High","Winter","Hayden/Winkelman",4,0.117,0.807,0.471,0.466,0.303,0.372,2.35
"188","Cr","High","Winter","Tucson",86,0.011,11.7,0.337,0.616,1.38,0.326,2.8
"189","Cr","High","Monsoon","Dewey-Humboldt",5,0.354,0.814,0.409,0.483,0.191,0.458,1.41
"190","Cr","High","Monsoon","Globe/Miami",14,0.112,10.6,0.598,2.07,2.94,0.894,3.86
"191","Cr","High","Monsoon","Hayden/Winkelman",1,0.532,0.532,0.532,0.532,NA,0.532,NA
"192","Cr","High","Monsoon","Tucson",39,0.17,52.4,0.545,4.05,10.7,0.869,4.14
"193","Cu","None","Winter","Dewey-Humboldt",17,1.22,108,4.65,15.3,25.8,7.06,3.32
"194","Cu","None","Winter","Globe/Miami",14,0.921,225,26.8,42.9,56.9,22.8,3.64
"195","Cu","None","Winter","Hayden/Winkelman",37,1.02,425,63,79.3,78.6,53.8,2.74
"196","Cu","None","Winter","Tucson",44,1.46,906,15.6,65.4,143,23.3,3.95
"197","Cu","None","Monsoon","Dewey-Humboldt",11,1.72,26.3,9.86,11.4,7.14,9.17,2.15
"198","Cu","None","Monsoon","Globe/Miami",6,1.6,158,58.6,68.7,57.6,36.3,5.27
"199","Cu","None","Monsoon","Hayden/Winkelman",14,71.6,658,262,284,189,221,2.17
"200","Cu","None","Monsoon","Tucson",17,1.09,134,27.9,37.3,37.6,23.2,3.15
"201","Cu","Medium","Winter","Dewey-Humboldt",8,0.35,19.7,2.36,5.14,6.67,2.66,3.46
"202","Cu","Medium","Winter","Globe/Miami",35,3.68,1640,13.2,120,324,23.3,4.47
"203","Cu","Medium","Winter","Hayden/Winkelman",23,0.469,3160,31.4,209,661,30.6,7.41
"204","Cu","Medium","Winter","Tucson",90,0.237,244,20,30.7,36.9,17.1,3.46
"205","Cu","Medium","Monsoon","Dewey-Humboldt",3,2.14,10.8,2.39,5.09,4.9,3.8,2.47
"206","Cu","Medium","Monsoon","Globe/Miami",24,7.68,2740,36.4,182,551,49,3.81
"207","Cu","Medium","Monsoon","Hayden/Winkelman",9,5.25,824,30.5,165,272,57.4,4.64
"208","Cu","Medium","Monsoon","Tucson",31,4.11,96.8,19,23.2,18,18.7,1.93
"209","Cu","High","Winter","Dewey-Humboldt",9,0.238,41.5,24,18.2,15.3,7.26,6.95
"210","Cu","High","Winter","Globe/Miami",30,3.4,228,17.3,48.2,64.5,23.5,3.2
"211","Cu","High","Winter","Hayden/Winkelman",4,8.65,37.3,23.5,23.2,13.5,19.9,1.97
"212","Cu","High","Winter","Tucson",86,0.224,685,13.5,38.3,95.5,15.9,3.22
"213","Cu","High","Monsoon","Dewey-Humboldt",5,1.98,133,15.5,37.6,54.9,12.4,6.26
"214","Cu","High","Monsoon","Globe/Miami",14,12.7,253,44.6,77,74.6,50.7,2.59
"215","Cu","High","Monsoon","Hayden/Winkelman",1,87.1,87.1,87.1,87.1,NA,87.1,NA
"216","Cu","High","Monsoon","Tucson",39,6.33,261,17.7,35.6,45.1,23.1,2.38
"217","Fe","None","Winter","Dewey-Humboldt",17,4.39,262,47.8,61.8,67.9,33.6,3.39
"218","Fe","None","Winter","Globe/Miami",14,21.3,96,39.7,49.7,27.8,42.8,1.76
"219","Fe","None","Winter","Hayden/Winkelman",37,2.5,454,31,59,86.1,35.6,2.57
"220","Fe","None","Winter","Tucson",44,1.7,464,26.5,64.3,99.9,34.8,2.77
"221","Fe","None","Monsoon","Dewey-Humboldt",11,13.3,182,55.5,70.4,57.5,53.7,2.17
"222","Fe","None","Monsoon","Globe/Miami",6,10.4,1600,22.5,286,644,42.7,6.29
"223","Fe","None","Monsoon","Hayden/Winkelman",14,5.68,548,88.8,144,143,86.5,3.25
"224","Fe","None","Monsoon","Tucson",17,18.9,943,49.4,145,279,59.3,3.07
"225","Fe","Medium","Winter","Dewey-Humboldt",8,12.6,82.2,31.4,39.6,24.8,33,1.94
"226","Fe","Medium","Winter","Globe/Miami",35,8.59,404,40.4,61.9,70,43.6,2.24
"227","Fe","Medium","Winter","Hayden/Winkelman",23,7.26,324,28,45.1,64.9,28.5,2.45
"228","Fe","Medium","Winter","Tucson",90,6.22,889,30.2,46.7,93.3,31.5,2.1
"229","Fe","Medium","Monsoon","Dewey-Humboldt",3,13.6,64,25.5,34.4,26.4,28.1,2.18
"230","Fe","Medium","Monsoon","Globe/Miami",24,7.7,858,50.7,93.9,173,48.8,2.81
"231","Fe","Medium","Monsoon","Hayden/Winkelman",9,5.65,129,48.6,54.5,45.3,33.9,3.24
"232","Fe","Medium","Monsoon","Tucson",31,3.13,609,59.3,106,135,55.3,3.47
"233","Fe","High","Winter","Dewey-Humboldt",9,10.1,442,19,79,140,33,3.45
"234","Fe","High","Winter","Globe/Miami",30,5.56,283,35.3,54,60.7,33.2,2.72
"235","Fe","High","Winter","Hayden/Winkelman",4,3.92,24.2,10.3,12.2,8.73,9.93,2.14
"236","Fe","High","Winter","Tucson",86,1.7,218,36,51.9,45.4,35.5,2.54
"237","Fe","High","Monsoon","Dewey-Humboldt",5,9.96,455,249,201,189,87.8,5.9
"238","Fe","High","Monsoon","Globe/Miami",14,8.42,687,42.6,93.6,175,44.7,3
"239","Fe","High","Monsoon","Hayden/Winkelman",1,96.7,96.7,96.7,96.7,NA,96.7,NA
"240","Fe","High","Monsoon","Tucson",39,4.2,1640,73.7,190,310,80.6,3.65
"241","Mn","None","Winter","Dewey-Humboldt",17,0.212,14.5,2.8,4.05,4.08,2.29,3.32
"242","Mn","None","Winter","Globe/Miami",14,0.149,41.7,7.12,11.1,11.8,5.89,4.1
"243","Mn","None","Winter","Hayden/Winkelman",37,0.411,35.1,8.19,10.3,8.85,6.72,2.84
"244","Mn","None","Winter","Tucson",44,0.273,87.7,2.64,8.18,14.9,3.55,3.37
"245","Mn","None","Monsoon","Dewey-Humboldt",11,0.703,192,9.82,41.2,64.1,11.2,6.23
"246","Mn","None","Monsoon","Globe/Miami",6,0.231,368,45.9,105,139,28.5,13.1
"247","Mn","None","Monsoon","Hayden/Winkelman",14,1.66,248,25.1,54.8,64.7,30.2,3.5
"248","Mn","None","Monsoon","Tucson",17,0.345,217,9.63,33.3,54.8,8.81,6.48
"249","Mn","Medium","Winter","Dewey-Humboldt",8,0.423,10.8,1.81,2.8,3.27,1.9,2.42
"250","Mn","Medium","Winter","Globe/Miami",35,1.02,612,5.82,36.7,110,7.2,4.76
"251","Mn","Medium","Winter","Hayden/Winkelman",23,0.168,33,4.51,7.62,9.08,3.25,4.88
"252","Mn","Medium","Winter","Tucson",90,0.0668,378,2.44,11.8,43.4,2.56,4.34
"253","Mn","Medium","Monsoon","Dewey-Humboldt",3,4.62,23.7,13.8,14,9.56,11.5,2.3
"254","Mn","Medium","Monsoon","Globe/Miami",24,1.52,450,37.8,79.2,105,36.8,4.03
"255","Mn","Medium","Monsoon","Hayden/Winkelman",9,3.98,28.7,13,12.7,7.44,10.9,1.85
"256","Mn","Medium","Monsoon","Tucson",31,0.928,471,15.4,42.3,85.3,12.6,5.37
"257","Mn","High","Winter","Dewey-Humboldt",9,0.13,17.4,5.14,7.25,6.99,2.67,7.13
"258","Mn","High","Winter","Globe/Miami",30,0.408,291,3.34,34.7,74.6,5.47,6.7
"259","Mn","High","Winter","Hayden/Winkelman",4,1.23,9.53,4.22,4.8,3.56,3.75,2.38
"260","Mn","High","Winter","Tucson",86,0.0787,94.5,3.17,6.73,12.4,2.97,3.58
"261","Mn","High","Monsoon","Dewey-Humboldt",5,2.23,313,8.47,85.7,134,19.5,8.22
"262","Mn","High","Monsoon","Globe/Miami",14,10.4,334,33,76.9,92,45,2.84
"263","Mn","High","Monsoon","Hayden/Winkelman",1,10.9,10.9,10.9,10.9,NA,10.9,NA
"264","Mn","High","Monsoon","Tucson",39,0.422,207,15.6,43.9,55.5,15.7,5.19
"265","Mo","None","Winter","Dewey-Humboldt",17,0.0258,2.56,0.127,0.338,0.629,0.152,3.07
"266","Mo","None","Winter","Globe/Miami",14,0.145,1.46,0.363,0.49,0.353,0.396,1.96
"267","Mo","None","Winter","Hayden/Winkelman",37,0.158,17.9,1.84,2.54,3.06,1.68,2.48
"268","Mo","None","Winter","Tucson",44,0.109,4.6,2.17,2.31,1.04,2.03,1.83
"269","Mo","None","Monsoon","Dewey-Humboldt",11,0.12,11.7,0.421,1.68,3.42,0.567,3.81
"270","Mo","None","Monsoon","Globe/Miami",6,0.292,2.22,0.69,0.968,0.781,0.727,2.31
"271","Mo","None","Monsoon","Hayden/Winkelman",14,0.662,17.1,3.76,4.98,4.47,3.45,2.56
"272","Mo","None","Monsoon","Tucson",17,0.38,11.8,3.12,4.06,3.09,2.88,2.64
"273","Mo","Medium","Winter","Dewey-Humboldt",8,0.0183,0.243,0.0916,0.107,0.071,0.086,2.18
"274","Mo","Medium","Winter","Globe/Miami",35,0.066,5.48,0.304,0.543,0.96,0.332,2.26
"275","Mo","Medium","Winter","Hayden/Winkelman",23,0.113,11.1,0.944,2.14,2.9,1.06,3.42
"276","Mo","Medium","Winter","Tucson",90,0.0078,7.58,2.29,2.42,1.47,1.87,2.57
"277","Mo","Medium","Monsoon","Dewey-Humboldt",3,0.138,0.274,0.145,0.186,0.0766,0.177,1.47
"278","Mo","Medium","Monsoon","Globe/Miami",24,0.361,4.77,0.663,1.22,1.11,0.892,2.15
"279","Mo","Medium","Monsoon","Hayden/Winkelman",9,0.427,5.94,1.08,2.53,2.39,1.56,2.93
"280","Mo","Medium","Monsoon","Tucson",31,1.51,13.9,4.26,4.54,2.53,4,1.66
"281","Mo","High","Winter","Dewey-Humboldt",9,0.016,11,0.176,1.4,3.61,0.209,6.03
"282","Mo","High","Winter","Globe/Miami",30,0.0938,4.71,0.408,0.732,0.968,0.465,2.38
"283","Mo","High","Winter","Hayden/Winkelman",4,0.354,1.14,0.695,0.721,0.341,0.658,1.66
"284","Mo","High","Winter","Tucson",86,0.168,20.2,1.67,2.87,3.77,1.85,2.37
"285","Mo","High","Monsoon","Dewey-Humboldt",5,0.095,0.989,0.133,0.338,0.377,0.223,2.63
"286","Mo","High","Monsoon","Globe/Miami",14,0.448,3.23,0.781,1.14,0.867,0.938,1.83
"287","Mo","High","Monsoon","Hayden/Winkelman",1,2.69,2.69,2.69,2.69,NA,2.69,NA
"288","Mo","High","Monsoon","Tucson",39,0.62,37.9,3.62,5.62,7.22,3.54,2.51
"289","Ni","None","Winter","Dewey-Humboldt",17,0.21,3.45,0.693,0.937,0.858,0.696,2.15
"290","Ni","None","Winter","Globe/Miami",14,0.0841,221,0.594,16.3,59,0.704,6.05
"291","Ni","None","Winter","Hayden/Winkelman",37,0.168,1.92,0.452,0.534,0.338,0.464,1.67
"292","Ni","None","Winter","Tucson",44,0.229,2.72,0.531,0.694,0.5,0.573,1.83
"293","Ni","None","Monsoon","Dewey-Humboldt",11,0.526,10.7,2.39,3.25,3.03,2.32,2.36
"294","Ni","None","Monsoon","Globe/Miami",6,0.185,3.79,1.19,1.52,1.23,1.1,2.72
"295","Ni","None","Monsoon","Hayden/Winkelman",14,0.408,4.46,1.96,1.9,1.34,1.42,2.36
"296","Ni","None","Monsoon","Tucson",17,0.175,11,1.12,2.19,2.85,1.28,2.77
"297","Ni","Medium","Winter","Dewey-Humboldt",8,0.247,0.837,0.428,0.446,0.177,0.42,1.43
"298","Ni","Medium","Winter","Globe/Miami",35,0.189,466,0.469,15.4,78.5,0.816,5.33
"299","Ni","Medium","Winter","Hayden/Winkelman",23,0.083,1.72,0.458,0.547,0.366,0.439,2.05
"300","Ni","Medium","Winter","Tucson",90,0.0611,7.12,0.538,0.981,1.13,0.651,2.4
"301","Ni","Medium","Monsoon","Dewey-Humboldt",3,0.558,1.52,0.771,0.948,0.503,0.867,1.66
"302","Ni","Medium","Monsoon","Globe/Miami",24,0.547,68.8,1.7,5.11,13.7,2.07,2.79
"303","Ni","Medium","Monsoon","Hayden/Winkelman",9,0.336,1.25,0.908,0.82,0.302,0.759,1.56
"304","Ni","Medium","Monsoon","Tucson",31,0.37,5.26,1.16,1.54,1.08,1.28,1.82
"305","Ni","High","Winter","Dewey-Humboldt",9,0.0571,59.7,0.384,7,19.7,0.536,7.31
"306","Ni","High","Winter","Globe/Miami",30,0.118,24.8,0.638,3.35,6.54,0.927,4.36
"307","Ni","High","Winter","Hayden/Winkelman",4,0.13,0.317,0.237,0.23,0.0818,0.218,1.48
"308","Ni","High","Winter","Tucson",86,0.13,10.2,0.723,1.22,1.76,0.766,2.36
"309","Ni","High","Monsoon","Dewey-Humboldt",5,0.299,4.29,2.58,2.12,1.74,1.32,3.48
"310","Ni","High","Monsoon","Globe/Miami",14,0.611,18.6,2.13,4.28,5.75,2.29,3
"311","Ni","High","Monsoon","Hayden/Winkelman",1,0.95,0.95,0.95,0.95,NA,0.95,NA
"312","Ni","High","Monsoon","Tucson",39,0.447,17.4,1.25,2.71,3.6,1.64,2.51
"313","Pb","None","Winter","Dewey-Humboldt",17,0.0831,3.74,0.212,0.859,1.05,0.392,3.8
"314","Pb","None","Winter","Globe/Miami",14,0.0834,2.08,0.782,0.851,0.566,0.679,2.18
"315","Pb","None","Winter","Hayden/Winkelman",37,0.0554,19.3,1,1.82,3.14,1,2.96
"316","Pb","None","Winter","Tucson",44,0.0754,52.1,0.985,3.2,8.03,1.07,3.95
"317","Pb","None","Monsoon","Dewey-Humboldt",11,0.0142,1.14,0.179,0.421,0.42,0.229,3.74
"318","Pb","None","Monsoon","Globe/Miami",6,0.0355,2.87,1.53,1.42,1.17,0.68,5.77
"319","Pb","None","Monsoon","Hayden/Winkelman",14,0.203,23.6,5.76,8.57,8.26,4.55,3.94
"320","Pb","None","Monsoon","Tucson",17,0.0806,264,0.809,17.5,63.7,1.12,6.83
"321","Pb","Medium","Winter","Dewey-Humboldt",8,0.0394,0.221,0.153,0.142,0.0616,0.127,1.76
"322","Pb","Medium","Winter","Globe/Miami",35,0.078,4.4,0.534,0.967,0.993,0.567,3.02
"323","Pb","Medium","Winter","Hayden/Winkelman",23,0.0319,13.4,0.393,1.32,2.92,0.416,4.07
"324","Pb","Medium","Winter","Tucson",90,0.013,22.2,0.586,2.01,4.15,0.659,4.2
"325","Pb","Medium","Monsoon","Dewey-Humboldt",3,0.128,0.583,0.136,0.282,0.26,0.216,2.36
