"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.292518038024107,0.283231814394874,442.792904964247,-1.03278665445502,0.302267500347482
"seasonMonsoon",0.624967855359258,0.0715147116016509,384.216592186321,8.73901105608082,7.38483396618663e-17
"prox.normal",-0.377692967092223,0.079604638665371,111.969495584394,-4.74461003057759,6.21028900862734e-06
"pH",0.18179181698921,0.047912433030039,436.718539539629,3.79425141852501,0.000168978159708065
"landuseUrban Community",-0.416961914702667,0.0975439557569475,121.243892937057,-4.27460534552874,3.83666039768141e-05
"prox.normal:landuseUrban Community",0.260300364003067,0.102802194409905,132.030909759891,2.53205065803525,0.012511451570542
