"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0580063834989549,0.141598810231333,-0.409653043017725,0.683961940551301
"seasonMonsoon",0.639119637017443,0.231229888834634,2.76400096993738,0.00818568264494652
