"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.64192743744554,0.190251040948468,-3.37410735965127,0.00211856783021472
"seasonMonsoon",0.730248545259066,0.214782370831884,3.39994638494167,0.00198078245021357
"Q651-2 years",-0.28874057996437,0.308385786210966,-0.936296654628704,0.356852669688666
"Q653-4 years",0.683445827586974,0.266986867978711,2.5598481032463,0.0159466633044663
"Q655+ years",0.575147119302943,0.266986867978711,2.15421501310995,0.0396667524742236
