"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.05289125710934,0.358081493584546,2.94036769833999,0.00625854505980539
"Q651-2 years",-0.0589357038838805,0.679411864609281,-0.0867451791083652,0.931450470379641
"Q653-4 years",0.897165327227741,0.58015832720501,1.54641463400164,0.132489682393127
"Q655+ years",2.09498492500057,0.58015832720501,3.61105723517482,0.00109816993545133
