"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-1.25741230090385,0.509812317738497,187.986921417315,-2.46642196971951,0.0145428347819125
"seasonMonsoon",0.484967306569295,0.134040560547838,169.089283754914,3.61806385013001,0.000391694557680073
"prox.normal",-0.234711517070154,0.0832390484188182,93.3835255644043,-2.81972849916785,0.00586933317014775
"Q67Yes",0.290400419377358,0.143895511533271,54.10346233791,2.01813396597998,0.0485470700119904
"pH",0.269709791994221,0.0862419383501451,187.065406390665,3.12736236167594,0.00204582794488616
"seasonMonsoon:prox.normal",0.316962422182813,0.151984601308183,169.793677347708,2.0854903684624,0.0385202853221713
