"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-1.86257927784848,0.358037983140075,303.980137592509,-5.20218347090785,3.62790758298373e-07
"seasonMonsoon",0.628933837972043,0.0879803398766387,283.613705783907,7.14857249760458,7.45393997788016e-12
"prox.normal",-0.151542553284069,0.0539232292238298,90.4362272040112,-2.81033898498607,0.00606622572108953
"pH",0.250641355464397,0.0607645394247058,311.064616009125,4.12479643287628,4.76731646906907e-05
"Q67Yes",0.209599824295326,0.0995705480164511,74.512303144574,2.10503837199627,0.0386591962453543
