"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.6715242300821,0.433915106587972,-8.46138835532278,2.64212936936948e-17
"seasonMonsoon",2.79854678292839,0.502428778670719,5.57003679274211,2.54685547316342e-08
"prox.normal",-0.563225922967903,0.277198874329699,-2.03184779999505,0.0421690664106495
