"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.07420202243829,0.372173372461213,-5.57321446378987,2.5008139109867e-08
"seasonMonsoon",1.9033311376856,0.503293697955258,3.78175038832852,0.000155729475258757
"prox.normal",-0.821750006074017,0.257406107628743,-3.19242621569503,0.00141082984179023
