"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.729626827506908,0.244476230770017,-2.98444893889615,0.00284089612593855
"prox.normal",-0.873480712767975,0.298629719589266,-2.92496243833117,0.00344497802594296
