"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"322","Ni","86314",4,0.408,2.39,1.32,1.36,0.819,1.14,2.1
"323","Ni","86327",33,0.0571,59.7,0.558,2.85,10.3,0.759,3.56
"324","Ni","86333",5,0.299,3.34,0.392,1.17,1.32,0.716,2.97
"325","Ni",NA,2,0.875,1.22,1.05,1.05,0.245,1.03,1.27
"326","Pb","85135",22,0.35,23.6,1.86,4.5,6.53,2.35,2.93
"327","Pb","85192",51,0.0319,13.4,0.408,1.07,2.26,0.45,3.27
"328","Pb","85286",2,1.07,15.6,8.36,8.36,10.3,4.1,6.65
"329","Pb","85501",83,0.0355,27.2,0.657,1.63,3.59,0.634,3.65
"330","Pb","85502",17,0.0989,14,0.373,1.3,3.3,0.466,3.19
"331","Pb","85539",5,0.497,2.87,2.08,1.75,1.01,1.45,2.11
"332","Pb","85705",7,0.337,2.19,1.24,1.11,0.68,0.912,2.04
"333","Pb","85706",26,0.0382,19.9,1.07,2.21,3.95,0.898,4.18
"334","Pb","85711",27,0.102,20.8,0.335,1.68,4.02,0.539,3.76
"335","Pb","85712",3,0.24,0.553,0.519,0.437,0.172,0.41,1.59
"336","Pb","85713",19,0.0981,13.7,0.464,1.78,3.21,0.634,4.26
"337","Pb","85714",30,0.0712,16.4,0.583,1.78,3.31,0.672,3.92
"338","Pb","85716",6,0.58,350,6.33,65.2,140,8.74,9.08
"339","Pb","85718",4,0.0784,3.44,0.236,0.997,1.63,0.336,5.25
"340","Pb","85719",14,0.0682,2,0.414,0.656,0.623,0.395,3.07
"341","Pb","85745",15,0.0377,75.4,0.599,6.11,19.2,0.672,6.79
"342","Pb","85746",9,0.169,1.76,0.483,0.725,0.628,0.509,2.47
"343","Pb","85748",6,0.0484,2.19,0.156,0.488,0.838,0.209,3.56
"344","Pb","85749",8,0.128,16.2,0.335,3.4,6.06,0.665,6.4
"345","Pb","85750",1,0.901,0.901,0.901,0.901,NA,0.901,NA
"346","Pb","85756",11,0.0681,1.45,0.572,0.687,0.517,0.486,2.63
"347","Pb","86314",4,0.119,0.912,0.331,0.423,0.378,0.295,2.76
"348","Pb","86327",33,0.0142,3.18,0.181,0.744,0.922,0.312,4.24
"349","Pb","86333",5,0.114,0.583,0.261,0.279,0.185,0.237,1.89
"350","Pb",NA,2,0.492,0.537,0.514,0.514,0.0316,0.514,1.06
