"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"87","Ba","85714",30,2.51,38,11.2,14.5,9.6,11.4,2.08
"88","Ba","85716",6,8.86,24.4,13.4,14.8,6.08,13.8,1.5
"89","Ba","85718",4,5.56,47.8,8.54,17.6,20.2,11.7,2.64
"90","Ba","85719",14,4.68,74.4,16,20.2,17.4,15.8,2.01
"91","Ba","85745",15,6.73,28.4,12.3,14.1,6.04,13,1.51
"92","Ba","85746",9,3.1,19.7,8.16,9.47,5.47,8.12,1.83
"93","Ba","85748",6,2.16,11.4,3.94,5.15,3.46,4.36,1.85
"94","Ba","85749",8,1.93,12.3,5.43,5.38,3.27,4.62,1.81
"95","Ba","85750",1,36.9,36.9,36.9,36.9,NA,36.9,NA
"96","Ba","85756",11,0.178,23.7,3.95,8.98,9.65,3.06,6.45
"97","Ba","86314",4,2.52,34,17.7,18,16.3,10.9,3.6
"98","Ba","86327",33,0.314,22.4,3.69,5.97,5.7,3.84,2.75
"99","Ba","86333",5,2.99,16.5,5.23,8.42,5.95,6.82,2.08
"100","Ba",NA,2,8.29,15.1,11.7,11.7,4.83,11.2,1.53
"101","Be","85135",22,0.0025,0.0689,0.0212,0.0272,0.0188,0.0198,2.52
"102","Be","85192",51,0.00063,1.4,0.0338,0.0585,0.196,0.0191,3.81
"103","Be","85286",2,0.0677,0.133,0.1,0.1,0.0461,0.0949,1.61
"104","Be","85501",83,0.0025,0.795,0.04,0.0582,0.102,0.0351,2.52
"105","Be","85502",17,0.0042,0.593,0.0387,0.0662,0.138,0.029,3.18
"106","Be","85539",5,0.04,0.064,0.0468,0.0507,0.00969,0.0499,1.21
"107","Be","85705",7,0.00133,0.0741,0.0116,0.0254,0.0275,0.0112,4.94
"108","Be","85706",26,0.0019,0.511,0.016,0.0412,0.0996,0.0168,3.16
"109","Be","85711",27,0.00155,0.064,0.0159,0.0207,0.0163,0.0143,2.64
"110","Be","85712",3,0.00773,0.016,0.00994,0.0112,0.00428,0.0107,1.45
"111","Be","85713",19,0.0042,0.104,0.0197,0.0304,0.0241,0.0223,2.37
"112","Be","85714",30,0.0042,0.0642,0.0205,0.0283,0.0166,0.023,2.04
"113","Be","85716",6,0.00817,0.136,0.0136,0.0409,0.0514,0.0224,3.16
"114","Be","85718",4,0.0025,0.0352,0.0137,0.0163,0.0138,0.0112,3.03
"115","Be","85719",14,0.00394,0.042,0.00872,0.0149,0.0144,0.0104,2.31
"116","Be","85745",15,0.00063,0.04,0.0111,0.0151,0.0135,0.00864,3.72
"117","Be","85746",9,0.00674,0.04,0.018,0.022,0.0119,0.019,1.84
"118","Be","85748",6,0.0025,0.064,0.0173,0.0258,0.0223,0.0173,3.05
"119","Be","85749",8,0.0018,0.0252,0.0152,0.0126,0.00836,0.00923,2.59
"120","Be","85750",1,0.0025,0.0025,0.0025,0.0025,NA,0.0025,NA
"121","Be","85756",11,0.0042,0.064,0.0254,0.0299,0.0208,0.0219,2.55
"122","Be","86314",4,0.0042,0.0357,0.00659,0.0133,0.015,0.00898,2.58
"123","Be","86327",33,0.0019,0.0707,0.0255,0.0313,0.0225,0.0217,2.7
"124","Be","86333",5,0.0016,0.00648,0.00545,0.00457,0.00196,0.00411,1.77
"125","Be",NA,2,0.0042,0.00876,0.00648,0.00648,0.00322,0.00606,1.68
"126","Cd","85135",22,0.191,2.51,0.593,0.779,0.612,0.587,2.16
"127","Cd","85192",51,0.00528,2.64,0.124,0.238,0.407,0.124,3.13
"128","Cd","85286",2,0.502,1.31,0.907,0.907,0.572,0.811,1.97
"129","Cd","85501",83,0.0071,11.7,0.117,0.748,2.18,0.153,4.29
"130","Cd","85502",17,0.0465,3.28,0.185,0.41,0.762,0.188,3.26
"131","Cd","85539",5,0.0775,0.416,0.121,0.181,0.141,0.146,2.02
"132","Cd","85705",7,0.0403,0.129,0.0727,0.0771,0.0289,0.0727,1.46
"133","Cd","85706",26,0.007,0.378,0.0486,0.0756,0.0716,0.0566,2.17
"134","Cd","85711",27,0.0066,0.219,0.0677,0.0833,0.0532,0.0666,2.12
"135","Cd","85712",3,0.0286,0.0986,0.0328,0.0533,0.0393,0.0452,1.97
"136","Cd","85713",19,0.0295,0.25,0.0631,0.0766,0.0524,0.0655,1.72
"137","Cd","85714",30,0.011,0.128,0.0383,0.0459,0.027,0.0394,1.76
"138","Cd","85716",6,0.042,0.427,0.135,0.175,0.149,0.124,2.55
"139","Cd","85718",4,0.011,0.0539,0.0283,0.0304,0.0202,0.025,2.11
"140","Cd","85719",14,0.019,0.201,0.0907,0.0847,0.0511,0.0695,2
"141","Cd","85745",15,0.0445,0.185,0.0697,0.0762,0.036,0.0704,1.48
"142","Cd","85746",9,0.0178,0.134,0.0572,0.0568,0.0362,0.0472,1.95
"143","Cd","85748",6,0.021,0.0458,0.0382,0.0357,0.0105,0.0342,1.39
"144","Cd","85749",8,0.007,0.0885,0.0254,0.0352,0.0306,0.0247,2.52
"145","Cd","85750",1,0.0245,0.0245,0.0245,0.0245,NA,0.0245,NA
"146","Cd","85756",11,0.0071,0.0405,0.033,0.0305,0.0102,0.028,1.66
"147","Cd","86314",4,0.0268,0.0853,0.0338,0.0449,0.0273,0.0401,1.69
"148","Cd","86327",33,0.0061,0.429,0.0202,0.0367,0.0719,0.0226,2.21
"149","Cd","86333",5,0.0126,1.38,0.0485,0.312,0.6,0.0695,6.3
"150","Cd",NA,2,0.0605,0.133,0.0968,0.0968,0.0514,0.0897,1.75
"151","Co","85135",22,0.0871,1.25,0.248,0.351,0.328,0.254,2.2
"152","Co","85192",51,0.0059,0.901,0.0803,0.128,0.143,0.085,2.54
"153","Co","85286",2,0.212,1.22,0.714,0.714,0.71,0.508,3.44
"154","Co","85501",83,0.0059,7.9,0.154,0.582,1.3,0.2,3.94
"155","Co","85502",17,0.0492,5.04,0.153,0.486,1.19,0.18,3.19
"156","Co","85539",5,0.0703,1.51,0.316,0.602,0.581,0.379,3.23
"157","Co","85705",7,0.0315,0.213,0.0703,0.09,0.0603,0.0761,1.85
"158","Co","85706",26,0.0045,2.42,0.0982,0.442,0.735,0.134,4.67
"159","Co","85711",27,0.00784,1.5,0.0727,0.239,0.392,0.101,3.51
"160","Co","85712",3,0.078,0.353,0.128,0.186,0.146,0.152,2.16
"161","Co","85713",19,0.0187,0.58,0.0699,0.116,0.131,0.0785,2.36
"162","Co","85714",30,0.0458,1.4,0.102,0.213,0.309,0.126,2.47
"163","Co","85716",6,0.059,0.764,0.167,0.295,0.295,0.185,2.97
"164","Co","85718",4,0.077,0.76,0.24,0.329,0.301,0.237,2.6
"165","Co","85719",14,0.0278,1.41,0.0931,0.206,0.356,0.104,2.91
"166","Co","85745",15,0.0246,0.449,0.0613,0.119,0.117,0.0803,2.5
"167","Co","85746",9,0.025,0.701,0.0518,0.165,0.235,0.0802,3.24
"168","Co","85748",6,0.0167,0.163,0.0456,0.06,0.0536,0.0451,2.25
"169","Co","85749",8,0.0059,0.265,0.0698,0.0867,0.0831,0.054,3.24
"170","Co","85750",1,0.127,0.127,0.127,0.127,NA,0.127,NA
"171","Co","85756",11,0.0059,0.109,0.0746,0.0687,0.0284,0.0575,2.24
"172","Co","86314",4,0.0256,0.388,0.236,0.221,0.182,0.14,3.6
"173","Co","86327",33,0.0045,1.23,0.069,0.183,0.299,0.0812,3.59
"174","Co","86333",5,0.0723,0.299,0.155,0.178,0.108,0.15,1.95
"175","Co",NA,2,0.0517,0.105,0.0783,0.0783,0.0377,0.0737,1.65
"176","Cr","85135",22,0.115,1.21,0.396,0.477,0.343,0.362,2.2
"177","Cr","85192",51,0.057,4.75,0.278,0.42,0.667,0.274,2.3
"178","Cr","85286",2,0.134,0.528,0.331,0.331,0.278,0.266,2.63
"179","Cr","85501",83,0.011,10.6,0.3,0.805,1.6,0.322,3.62
"180","Cr","85502",17,0.0335,1.26,0.366,0.44,0.343,0.311,2.61
"181","Cr","85539",5,0.22,0.493,0.279,0.309,0.107,0.297,1.36
"182","Cr","85705",7,0.145,1.15,0.284,0.401,0.339,0.325,1.9
"183","Cr","85706",26,0.011,28.7,0.483,1.98,5.55,0.531,4.64
"184","Cr","85711",27,0.056,14.2,0.266,0.791,2.69,0.265,2.77
"185","Cr","85712",3,0.152,0.59,0.221,0.321,0.235,0.271,2.01
"186","Cr","85713",19,0.056,2.36,0.349,0.534,0.539,0.362,2.52
"187","Cr","85714",30,0.055,13.6,0.392,1.33,2.81,0.509,3.51
"188","Cr","85716",6,0.233,1.67,0.341,0.607,0.564,0.454,2.2
"189","Cr","85718",4,0.0968,1.03,0.23,0.396,0.437,0.25,3
"190","Cr","85719",14,0.056,0.646,0.242,0.296,0.178,0.244,2
"191","Cr","85745",15,0.056,2.11,0.389,0.565,0.537,0.398,2.41
"192","Cr","85746",9,0.0918,0.568,0.275,0.324,0.168,0.28,1.84
"193","Cr","85748",6,0.0516,2.06,0.373,0.638,0.752,0.335,3.76
"194","Cr","85749",8,0.127,52.4,2.86,13.1,19.7,2,11.9
"195","Cr","85750",1,0.383,0.383,0.383,0.383,NA,0.383,NA
"196","Cr","85756",11,0.0351,1.25,0.259,0.463,0.397,0.308,2.84
"197","Cr","86314",4,0.562,0.775,0.704,0.686,0.0969,0.681,1.16
"198","Cr","86327",33,0.0732,86,0.401,3.35,14.9,0.469,4.14
"199","Cr","86333",5,0.219,1.29,0.361,0.523,0.436,0.426,1.94
"200","Cr",NA,2,0.0812,0.259,0.17,0.17,0.126,0.145,2.27
"201","Cu","85135",22,25.4,658,81,151,165,99.5,2.41
"202","Cu","85192",51,0.469,3160,34.4,128,443,35.1,4.87
"203","Cu","85286",2,104,141,122,122,26.7,121,1.25
"204","Cu","85501",83,0.921,2740,23.7,116,363,28.5,4.17
"205","Cu","85502",17,8.58,349,26.5,44.7,80.1,24.9,2.53
"206","Cu","85539",5,33.5,111,54.4,61.7,29.8,56.7,1.56
"207","Cu","85705",7,8.34,17.8,11.8,12.8,3.72,12.3,1.35
"208","Cu","85706",26,0.301,244,20.8,37.9,50.1,20.8,3.5
"209","Cu","85711",27,1.06,96.7,10.6,22,24.6,13.3,2.8
"210","Cu","85712",3,6.33,13.2,7.28,8.93,3.72,8.47,1.48
"211","Cu","85713",19,1.83,149,28.6,37.1,34.3,25.1,2.74
"212","Cu","85714",30,3.37,74.1,15.1,20,15.8,15.6,2.06
"213","Cu","85716",6,9.34,685,52.1,159,262,57.3,4.71
"214","Cu","85718",4,4.11,54.3,5.69,17.5,24.6,9.04,3.4
"215","Cu","85719",14,7.1,84,16.9,23,20,18.2,1.93
"216","Cu","85745",15,4.33,26.4,11.9,14,8.43,11.5,1.95
"217","Cu","85746",9,8.68,40.4,14.4,18.6,10.6,16.3,1.69
"218","Cu","85748",6,7.93,77.4,14.6,26.5,26.6,18.8,2.35
"219","Cu","85749",8,1.34,101,4.52,17.8,34.2,6.08,4.03
"220","Cu","85750",1,20.2,20.2,20.2,20.2,NA,20.3,NA
"221","Cu","85756",11,0.237,32.8,14.8,14.3,8.05,10.1,3.66
"222","Cu","86314",4,1.7,7.46,4.17,4.38,2.36,3.85,1.84
"223","Cu","86327",33,0.238,133,10.6,16.2,24.3,6.69,4.5
"224","Cu","86333",5,1.5,10.8,2.02,5.06,4.46,3.57,2.55
"225","Cu",NA,2,15.8,29.1,22.4,22.4,9.38,21.4,1.54
"226","Fe","85135",22,13.4,548,52.5,108,146,61.5,2.69
"227","Fe","85192",51,2.5,324,27.1,51,64.6,28.8,2.94
"228","Fe","85286",2,7.91,30.6,19.2,19.2,16,15.5,2.6
"229","Fe","85501",83,5.56,858,37.9,64.1,106,38.7,2.52
"230","Fe","85502",17,8.59,121,40.9,49.8,30.3,41.4,1.94
"231","Fe","85539",5,24.9,1600,48.1,355,697,82,5.62
"232","Fe","85705",7,6.13,218,69.6,75.5,68.6,50.2,3.03
"233","Fe","85706",26,8.06,889,41.8,108,196,52.4,2.9
"234","Fe","85711",27,10.2,182,34.2,52,43.9,40.3,2
"235","Fe","85712",3,46.4,500,84.4,210,252,125,3.44
"236","Fe","85713",19,9.05,142,36.7,47.5,32.9,38.5,1.96
"237","Fe","85714",30,7.95,438,40.8,71,96.2,43.3,2.52
"238","Fe","85716",6,62.8,509,137,189,162,150,2.01
"239","Fe","85718",4,5.67,1640,54.9,438,799,72.7,10.3
"240","Fe","85719",14,3.13,831,24.6,81,216,26.3,3.26
