"","analyte","Household Size 2","n","min","max","median","mean","sd","gmean","gsd"
"94","Pb","3",53,0.0712,23.6,0.626,2.17,4.67,0.711,3.99
"95","Pb","4",35,0.0681,350,0.684,11.9,59,0.808,5.54
"96","Pb","5-6",56,0.0382,16.4,0.495,1.55,3.45,0.54,3.59
"97","Pb","555",2,0.531,0.912,0.722,0.722,0.27,0.696,1.47
"98","Pb","999",12,0.408,27.2,1.09,5.25,8.54,1.73,4.32
"99","Sb","1",74,0.12,4.42,0.591,0.751,0.74,0.564,2.05
"100","Sb","2",178,0.106,5.35,0.536,0.698,0.631,0.542,1.99
"101","Sb","3",53,0.169,4.67,0.679,0.918,0.849,0.706,1.99
"102","Sb","4",35,0.122,2.6,0.529,0.685,0.536,0.542,1.98
"103","Sb","5-6",56,0.11,9.15,0.549,0.983,1.74,0.584,2.28
"104","Sb","555",2,0.316,0.318,0.317,0.317,0.00113,0.317,1
"105","Sb","999",12,0.173,1.67,0.529,0.568,0.402,0.472,1.86
"106","Se","1",74,0.16,11.7,1.16,1.71,1.78,1.13,2.57
"107","Se","2",178,0.16,11.6,1.52,1.85,1.57,1.31,2.41
"108","Se","3",53,0.25,6.9,1.6,2.15,1.48,1.64,2.27
"109","Se","4",35,0.16,7.43,0.917,1.79,1.98,1.01,3.06
"110","Se","5-6",56,0.229,8.25,1.3,1.93,1.69,1.34,2.46
"111","Se","555",2,3.56,4.97,4.27,4.27,0.998,4.21,1.27
"112","Se","999",12,0.16,7.42,1.3,2.17,2.1,1.44,2.75
"113","Sn","1",74,0.00387,6.02,0.0606,0.243,0.835,0.0635,3.68
"114","Sn","2",178,0.00887,2.94,0.09,0.197,0.355,0.0931,3.15
"115","Sn","3",53,0.0142,3.21,0.119,0.321,0.562,0.139,3.59
"116","Sn","4",35,0.00196,0.986,0.1,0.128,0.166,0.0768,3.05
"117","Sn","5-6",56,0.011,80.7,0.102,1.84,10.9,0.104,4.73
"118","Sn","555",2,0.0217,0.406,0.214,0.214,0.272,0.0938,7.93
"119","Sn","999",12,0.03,13.9,0.262,1.5,3.92,0.282,5.77
"120","V","1",74,0.145,11.4,1.4,2.12,1.94,1.54,2.26
"121","V","2",178,0.216,18.3,1.4,2.34,2.66,1.52,2.49
"122","V","3",53,0.44,29,1.99,4.15,6.02,2.5,2.44
"123","V","4",35,0.276,7.59,1.68,2.43,2.04,1.74,2.36
"124","V","5-6",56,0.342,9.98,1.83,2.48,2.03,1.84,2.24
"125","V","555",2,4.9,6.08,5.49,5.49,0.835,5.46,1.17
"126","V","999",12,0.176,4.98,1.06,1.53,1.46,1.03,2.58
"127","Zn","1",74,3.68,646,64.5,108,119,62.8,3.1
"128","Zn","2",178,1.4,12700,99.4,555,1500,110,5.35
"129","Zn","3",53,7.26,1280,56.2,208,308,86.6,3.71
"130","Zn","4",35,5.15,586,47.1,105,123,59.4,3.08
"131","Zn","5-6",56,2.4,1190,80.1,178,238,80.9,3.84
"132","Zn","555",2,13.2,24.2,18.7,18.7,7.8,17.9,1.54
"133","Zn","999",12,15.6,784,105,193,226,107,3.21
"134","pli","1",74,0.199,10.9,1.46,1.85,1.61,1.4,2.13
"135","pli","2",178,0.148,24.6,1.66,2.54,2.71,1.8,2.25
"136","pli","3",53,0.436,13.4,1.88,2.85,2.69,2.07,2.19
"137","pli","4",35,0.127,10.7,1.46,2.12,2.18,1.5,2.28
"138","pli","5-6",56,0.118,8.34,1.63,2.16,1.65,1.7,2.06
"139","pli","555",2,1.14,1.65,1.39,1.39,0.364,1.37,1.3
"140","pli","999",12,0.923,21.7,1.38,5.08,7.29,2.43,3.2
