"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"58","Be","High","Globe/Miami",44,0.0025,1.69,0.04,0.194,0.42,0.0505,4.36
"59","Be","High","Hayden/Winkelman",5,0.00412,0.238,0.04,0.0723,0.0952,0.0332,4.57
"60","Be","High","Tucson",125,0.00133,0.136,0.016,0.0222,0.0207,0.0146,2.68
"61","Cd","None","Dewey-Humboldt",28,0.011,1.38,0.0295,0.0993,0.258,0.0401,2.91
"62","Cd","None","Globe/Miami",20,0.0071,3.8,0.15,0.391,0.826,0.162,3.62
"63","Cd","None","Hayden/Winkelman",51,0.012,4.65,0.363,0.7,0.831,0.394,3.18
"64","Cd","None","Tucson",61,0.011,0.224,0.0544,0.0647,0.0464,0.0525,1.92
"65","Cd","Medium","Dewey-Humboldt",11,0.0061,0.0485,0.019,0.0187,0.0121,0.0158,1.85
"66","Cd","Medium","Globe/Miami",59,0.02,11.7,0.111,0.925,2.48,0.183,4.59
"67","Cd","Medium","Hayden/Winkelman",32,0.00528,3.56,0.0977,0.347,0.763,0.118,3.93
"68","Cd","Medium","Tucson",121,0.00652,0.421,0.0546,0.0759,0.0688,0.0548,2.29
"69","Cd","High","Dewey-Humboldt",14,0.007,0.429,0.0251,0.0634,0.109,0.0315,2.98
"70","Cd","High","Globe/Miami",44,0.02,8.01,0.107,0.952,2.06,0.181,5.17
"71","Cd","High","Hayden/Winkelman",5,0.0881,0.306,0.21,0.192,0.0843,0.176,1.63
"72","Cd","High","Tucson",125,0.007,0.66,0.0509,0.0842,0.0922,0.0593,2.21
"73","Co","None","Dewey-Humboldt",28,0.0059,2.18,0.102,0.24,0.415,0.111,3.49
"74","Co","None","Globe/Miami",20,0.0059,1.58,0.181,0.357,0.464,0.16,4.15
"75","Co","None","Hayden/Winkelman",51,0.011,2.95,0.193,0.316,0.46,0.185,2.75
"76","Co","None","Tucson",61,0.014,2.17,0.0714,0.17,0.294,0.0991,2.52
"77","Co","Medium","Dewey-Humboldt",11,0.02,0.299,0.0563,0.0882,0.0787,0.0674,2.09
"78","Co","Medium","Globe/Miami",59,0.023,7.89,0.181,0.667,1.32,0.222,4.06
"79","Co","Medium","Hayden/Winkelman",32,0.0059,0.621,0.093,0.138,0.138,0.0901,2.71
"80","Co","Medium","Tucson",121,0.0045,3.56,0.0746,0.203,0.437,0.0932,3.03
"81","Co","High","Dewey-Humboldt",14,0.0045,1.23,0.135,0.306,0.416,0.126,4.72
"82","Co","High","Globe/Miami",44,0.0273,11.2,0.152,1.27,2.81,0.269,4.99
"83","Co","High","Hayden/Winkelman",5,0.0429,0.159,0.0674,0.081,0.045,0.0733,1.61
"84","Co","High","Tucson",125,0.014,1.87,0.0968,0.232,0.371,0.114,2.98
"85","Cr","None","Dewey-Humboldt",28,0.085,7.03,0.604,1.01,1.38,0.589,2.81
"86","Cr","None","Globe/Miami",20,0.075,0.753,0.236,0.267,0.191,0.214,1.97
"87","Cr","None","Hayden/Winkelman",51,0.105,171,0.386,4.37,23.9,0.509,4.15
"88","Cr","None","Tucson",61,0.056,20.8,0.403,0.877,2.62,0.42,2.69
"89","Cr","Medium","Dewey-Humboldt",11,0.0732,1.19,0.3,0.366,0.341,0.26,2.36
"90","Cr","Medium","Globe/Miami",59,0.011,4.21,0.312,0.506,0.669,0.289,3.14
"91","Cr","Medium","Hayden/Winkelman",32,0.057,1.23,0.267,0.3,0.225,0.239,2.01
